timestamp,CPU_UTIL_USER,CPU_UTIL_SYS,MEM_UTIL,NET_UTIL,STORAGE_UTIL,CPU TIME,WALL CLOCK TIME,CONTEXT SWITCHES,TSC,CYCLES,INSTRUCTIONS,REFERENCE CYCLES,L1 CACHE MISSES,L1 CACHE HITS,L2 CACHE MISSES,L2 CACHE HITS,LL CACHE MISSES,LL CACHE ACCESSES,MEM ACCESSES RD,MEM ACCESSES WR,BRANCH MISSES,BRANCHES,ITLB WALKS,DTLB LOAD WALKS,DTLB STORE WALKS,DTLB ACCESSES,CPU UTILIZATION,FREQUENCY,CPI,L1 CACHE MPKI,L1 CACHE MISS RATE,L2 CACHE MPKI,L2 CACHE MISS RATE,LL CACHE MPKI,LL CACHE MISS RATE,MEM BANDWITH RD,MEM BANDWITH WR,MEM BANDWITH,BRANCH MPKI,BRANCH MISS RATE,ITLB MPKI,DTLB MPKI,DTLB WALK RATE
10.0,0.13,0.3,3.06,0.0,0.0,64264.12,1004003525.0,11054.0,185929640058.0,971037956.0,968126899.0,1231723148.0,5140864.0,243346468.0,1153303.0,3988243.0,5068435.0,13734541.0,3537229.0,1867331.0,1218696.0,198528656.0,273001.0,200033.0,273684.0,425449800.0,0.0066246734389189,967165883.207432,1.0030068961031935,5.310113793253874,0.0206886361514799,1.1912725503147084,0.2243105478391129,5.235300253753201,0.3690283497642914,225479941.4175364,119032633.87446772,344512575.2920041,1.2588184475184176,0.0061386402575555,0.2819888593964167,0.4893129201237078,0.0011134498124103
11.0,0.03,0.09,3.06,0.0,0.0,64241.35,1003996183.0,1525.0,185863656282.0,438714421.0,259954893.0,511037188.0,1680238.0,67296595.0,470850.0,1209628.0,476050.0,2761844.0,286711.0,260508.0,350557.0,52526219.0,103874.0,41901.0,3090.0,108306389.0,0.0027495272514419,436968216.0435066,1.6876559465260768,6.463575201871657,0.0243594541373043,1.811275773908976,0.2801881369467496,1.831279244280276,0.172366723102391,18276467.88971906,16606150.78254735,34882618.67226641,1.348530108259974,0.0066739431597008,0.3995847079516214,0.173072333745224,0.0004154048566793
12.0,0.0,0.05,3.06,0.0,0.0,64256.61,1004002778.0,1504.0,185907847558.0,425286230.0,260170211.0,502921480.0,1789660.0,64249045.0,523661.0,1266222.0,466066.0,2975552.0,287602.0,263651.0,302464.0,53593673.0,88795.0,34389.0,2274.0,110895054.0,0.0027052192072908,423590690.5030496,1.6346461355639212,6.878804430073664,0.027100167999963,2.012763098385618,0.2925671677981186,1.791388792008936,0.1566317779020497,18333144.49255438,16806391.744864274,35139536.23741866,1.1625619967691074,0.0056436512571176,0.3412957988491619,0.1409192845679016,0.0003306098755315
13.0,0.02,0.0,3.06,0.0,0.0,64247.04,1003998588.0,2033.0,185880019070.0,436002529.0,305495455.0,531787732.0,2169845.0,79253164.0,549069.0,1621107.0,627059.0,4161813.0,377848.0,355727.0,741078.0,60654710.0,137714.0,62688.0,9232.0,126503053.0,0.0028609192890158,434266077.8722131,1.4271980871204777,7.102707960090601,0.0266490397081738,1.797306608047573,0.2530066685835619,2.0525968217759574,0.1506696720876214,24085962.16073563,22675856.59194174,46761818.75267737,2.4258233236235878,0.0122179794446301,0.4507890305602091,0.2354208510237901,0.0005685238284328
14.0,0.13,0.28,3.06,0.0,0.4,64262.93,1004001251.0,12344.0,185926299864.0,1065914125.0,1025886930.0,1274847888.0,5927251.0,281177304.0,1247071.0,4680815.0,5139148.0,14902292.0,3586853.0,1811547.0,1090382.0,197398043.0,299789.0,249015.0,265775.0,412540314.0,0.0068567377984315,1061666132.326363,1.039017160497405,5.777684486145076,0.0206449214990685,1.2156027760291284,0.2103736475364067,5.009468246174069,0.3448562140642526,228643731.0425224,115476955.71546651,344120686.75798887,1.062867620313673,0.0055237731004253,0.2922242122725942,0.5017999400772168,0.0012478538036891
15.0,0.0,0.06,3.06,0.0,0.0,64243.1,1003997766.0,1519.0,185868683152.0,417239980.0,250240354.0,468784652.0,1770758.0,65579433.0,509390.0,1261571.0,493014.0,2781265.0,304724.0,275580.0,335894.0,48755475.0,98733.0,35087.0,2835.0,102334172.0,0.0025221282254237,415578594.0264732,1.6673568964020886,7.076228800411624,0.0262918036861989,2.0356029387650243,0.2876347926351851,1.970161854870138,0.1772625046516603,19424680.67204843,17566891.67772511,36991572.34977354,1.3422855052386955,0.0068893596052545,0.3945526707494987,0.151542304803485,0.0003705702529161
16.0,0.0,0.05,3.06,0.0,0.0,64251.43,1004000341.0,1462.0,185892812216.0,380733358.0,232470523.0,437350508.0,1694172.0,57506721.0,500650.0,1193670.0,367438.0,2574157.0,230994.0,227917.0,297740.0,47222841.0,83588.0,33877.0,2175.0,99040050.0,0.0023527026289312,379216363.234283,1.637770471226582,7.287685243431917,0.0286173385931864,2.15360637357021,0.295487275131026,1.5805788848334978,0.1427410993191169,14724712.130351756,14528568.770675348,29253280.901027106,1.2807645294453096,0.0063049997351917,0.3595638660820667,0.1550820273243847,0.0003640143558085
17.0,0.38,0.11,3.06,0.0,0.0,64263.4,1004008225.0,2083.0,185927614872.0,898468106.0,921675146.0,1072620332.0,5711585.0,239281109.0,1312585.0,4399823.0,2633430.0,13907501.0,2275597.0,985181.0,2901696.0,196612493.0,212127.0,255739.0,69610.0,374775816.0,0.0057690210931734,894881220.7190833,0.9748208030771832,6.196961071140786,0.0233132870484701,1.4241297551491097,0.2297778800113717,2.857221453164801,0.1893532130610668,145056787.75689313,62799867.99908935,207856655.7559825,3.1482849598290024,0.0147584517938033,0.2301537596197695,0.3529974757505287,0.0008681163141006
18.0,0.03,0.05,3.06,0.0,0.0,64439.87,1003994360.0,11330.0,186437961948.0,965611135.0,882639592.0,1176218772.0,5025514.0,226658235.0,1152041.0,3874314.0,4639939.0,12924166.0,3228909.0,1684984.0,928018.0,182496304.0,277254.0,186691.0,281456.0,389818305.0,0.006308901683489,961769481.4540592,1.0940038762729782,5.693732805042808,0.0216912667448246,1.3052224378350796,0.2292000863448761,5.256889722662701,0.3590126434463934,205828024.7709758,107409942.0239771,313237966.79495287,1.0514121600835689,0.0050851331213809,0.314119151817971,0.5303942903118717,0.0012009364208794
19.0,0.28,0.31,3.06,0.0,0.4,64321.19,1007999227.0,2404.0,186094654008.0,629940865.0,631336537.0,877963980.0,3253091.0,163475912.0,729256.0,2525632.0,1999238.0,7273240.0,1392524.0,805512.0,972880.0,124528197.0,165391.0,128455.0,29517.0,242681314.0,0.0047178355803937,624941813.5714502,0.9977893375114452,5.152705109477926,0.0195112484418802,1.1550986791692686,0.2240494911038413,3.166675588743884,0.2748758462528392,88414290.02405375,51143658.2679046,139557948.29195836,1.540984788593029,0.0078125277924003,0.2619696315786013,0.2502183712519714,0.0006509442255615
